Area,Year,Population
Christmas Island,1100,
Cocos Island,1100,
Colombia,1100,
Comoros,1100,
Congo - Dem. Rep.,1100,
Congo - Rep.,1100,
Cook Islands,1100,
Costa Rica,1100,
Cote d'Ivoire,1100,
Croatia,1100,
Cuba,1100,
Cyprus,1100,
Czech Rep.,1100,
Czechoslovakia,1100,
Denmark,1100,
Djibouti,1100,
Dominica,1100,
Dominican Rep.,1100,
East Germany,1100,
Ecuador,1100,
Egypt,1100,
El Salvador,1100,
Equatorial Guinea,1100,
Eritrea,1100,
Eritrea and Ethiopia,1100,
Estonia,1100,
Ethiopia,1100,
Faeroe Islands,1100,
Falkland Islands (Malvinas),1100,
Fiji,1100,
Finland,1100,
France,1100,
French Guiana,1100,
French Polynesia,1100,
Gabon,1100,
Gambia,1100,
Georgia,1100,
Germany,1100,
Ghana,1100,
Gibraltar,1100,
Greece,1100,
Greenland,1100,
Grenada,1100,
Guadeloupe,1100,
Guam,1100,
Guatemala,1100,
Guernsey,1100,
Guinea,1100,
Guinea-Bissau,1100,
Guyana,1100,
Haiti,1100,
Holy See,1100,
Honduras,1100,
Hong Kong - China,1100,
Hungary,1100,
Iceland,1100,
India,1100,
Indonesia,1100,
Iran,1100,
Iraq,1100,
Ireland,1100,
Isle of Man,1100,
Israel,1100,
Italy,1100,
Jamaica,1100,
Japan,1100,
Jersey,1100,
Jordan,1100,
Kazakhstan,1100,
Kenya,1100,
Kiribati,1100,
Korea - Dem. Rep.,1100,
Korea - Rep.,1100,
Korea - United,1100,
Kosovo,1100,
Kuwait,1100,
Kyrgyzstan,1100,
Laos,1100,
Latvia,1100,
Lebanon,1100,
Lesotho,1100,
Liberia,1100,
Libya,1100,
Liechtenstein,1100,
Lithuania,1100,
Luxembourg,1100,
Macao - China,1100,
Macedonia - FYR,1100,
Madagascar,1100,
Malawi,1100,
Malaysia,1100,
Maldives,1100,
Mali,1100,
Malta,1100,
Marshall Islands,1100,
Martinique,1100,
Mauritania,1100,
Mauritius,1100,
Mayotte,1100,
Mexico,1100,
Micronesia - Fed. Sts.,1100,
Moldova,1100,
Monaco,1100,
Mongolia,1100,
Montenegro,1100,
Montserrat,1100,
Morocco,1100,
Mozambique,1100,
Myanmar,1100,
Namibia,1100,
Nauru,1100,
Nepal,1100,
Netherlands,1100,
Netherlands Antilles,1100,
New Caledonia,1100,
New Zealand,1100,
Ngorno-Karabakh,1100,
Nicaragua,1100,
Niger,1100,
Nigeria,1100,
Niue,1100,
Norfolk Island,1100,
Northern Cyprus,1100,
Northern Mariana Islands,1100,
Norway,1100,
Oman,1100,
Pakistan,1100,
Palau,1100,
Panama,1100,
Papua New Guinea,1100,
Paraguay,1100,
Peru,1100,
Philippines,1100,
Pitcairn,1100,
Poland,1100,
Portugal,1100,
Puerto Rico,1100,
Qatar,1100,
Reunion,1100,
Romania,1100,
Russia,1100,
Rwanda,1100,
Saint Barthélemy,1100,
Saint Helena,1100,
Saint Kitts and Nevis,1100,
Saint Lucia,1100,
Saint Martin,1100,
Saint Vincent and the Grenadines,1100,
Saint-Pierre-et-Miquelon,1100,
Samoa,1100,
San Marino,1100,
Sao Tome and Principe,1100,
Saudi Arabia,1100,
Senegal,1100,
Serbia,1100,
Serbia and Montenegro,1100,
Serbia excluding Kosovo,1100,
Seychelles,1100,
Sierra Leone,1100,
Singapore,1100,
Slovak Republic,1100,
Slovenia,1100,
Solomon Islands,1100,
Somalia,1100,
Somaliland,1100,
South Africa,1100,
South Ossetia,1100,
South Sudan,1100,
Spain,1100,
Sri Lanka,1100,
Sudan,1100,
Suriname,1100,
Svalbard,1100,
Swaziland,1100,
Sweden,1100,701746
Switzerland,1100,
Syria,1100,
Taiwan,1100,
Tajikistan,1100,
Tanzania,1100,
Thailand,1100,
Timor-Leste,1100,
Togo,1100,
Tokelau,1100,
Tonga,1100,
Transnistria,1100,
Trinidad and Tobago,1100,
Tunisia,1100,
Turkey,1100,
Turkmenistan,1100,
Turks and Caicos Islands,1100,
Tuvalu,1100,
Uganda,1100,
Ukraine,1100,
United Arab Emirates,1100,
United Kingdom,1100,
United States,1100,
Uruguay,1100,
USSR,1100,
Uzbekistan,1100,
Wallis et Futuna,1100,
Vanuatu,1100,
Venezuela,1100,
West Bank and Gaza,1100,
West Germany,1100,
Western Sahara,1100,
Vietnam,1100,
Virgin Islands (U.S.),1100,
Yemen Arab Republic (Former),1100,
Yemen Democratic (Former),1100,
Yemen - Rep.,1100,
Yugoslavia,1100,
Zambia,1100,
Zimbabwe,1100,
Åland,1100,
Abkhazia,1290,
Afghanistan,1290,
Akrotiri and Dhekelia,1290,
Albania,1290,
Algeria,1290,
American Samoa,1290,
Andorra,1290,
Angola,1290,
Anguilla,1290,
Antigua and Barbuda,1290,
Argentina,1290,
Armenia,1290,
Aruba,1290,
Australia,1290,
Austria,1290,
Azerbaijan,1290,
Bahamas,1290,
Bahrain,1290,
Bangladesh,1290,
Barbados,1290,
Belarus,1290,
Belgium,1290,
Belize,1290,
Benin,1290,
Bermuda,1290,
Bhutan,1290,
Bolivia,1290,
Bosnia and Herzegovina,1290,
Botswana,1290,
Brazil,1290,
British Virgin Islands,1290,
Brunei,1290,
Bulgaria,1290,
Burkina Faso,1290,
Burundi,1290,
Cambodia,1290,
Cameroon,1290,
Canada,1290,
Cape Verde,1290,
Cayman Islands,1290,
Central African Rep.,1290,
Chad,1290,
Channel Islands,1290,
Chile,1290,
China,1290,
Christmas Island,1290,
Cocos Island,1290,
Colombia,1290,
Comoros,1290,
Congo - Dem. Rep.,1290,
Congo - Rep.,1290,
Cook Islands,1290,
Costa Rica,1290,
Cote d'Ivoire,1290,
Croatia,1290,
Cuba,1290,
Cyprus,1290,
Czech Rep.,1290,
Czechoslovakia,1290,
Denmark,1290,
Djibouti,1290,
Dominica,1290,
Dominican Rep.,1290,
East Germany,1290,
Ecuador,1290,
Egypt,1290,
El Salvador,1290,
Equatorial Guinea,1290,
Eritrea,1290,
Eritrea and Ethiopia,1290,
Estonia,1290,
Ethiopia,1290,
Faeroe Islands,1290,
Falkland Islands (Malvinas),1290,
Fiji,1290,
Finland,1290,
France,1290,
French Guiana,1290,
French Polynesia,1290,
Gabon,1290,
Gambia,1290,
Georgia,1290,
Germany,1290,
Ghana,1290,
Gibraltar,1290,
Greece,1290,
Greenland,1290,
Grenada,1290,
Guadeloupe,1290,
Guam,1290,
Guatemala,1290,
Guernsey,1290,
Guinea,1290,
Guinea-Bissau,1290,
Guyana,1290,
Haiti,1290,
Holy See,1290,
Honduras,1290,
Hong Kong - China,1290,
Hungary,1290,
Iceland,1290,
India,1290,
Indonesia,1290,
Iran,1290,
Iraq,1290,
Ireland,1290,
Isle of Man,1290,
Israel,1290,
Italy,1290,
Jamaica,1290,
Japan,1290,
Jersey,1290,
Jordan,1290,
Kazakhstan,1290,
Kenya,1290,
Kiribati,1290,
Korea - Dem. Rep.,1290,
Korea - Rep.,1290,
Korea - United,1290,
Kosovo,1290,
Kuwait,1290,
Kyrgyzstan,1290,
Laos,1290,
Latvia,1290,
Lebanon,1290,
Lesotho,1290,
Liberia,1290,
Libya,1290,
Liechtenstein,1290,
Lithuania,1290,
Luxembourg,1290,
Macao - China,1290,
Macedonia - FYR,1290,
Madagascar,1290,
Malawi,1290,
Malaysia,1290,
Maldives,1290,
Mali,1290,
Malta,1290,
Marshall Islands,1290,
Martinique,1290,
Mauritania,1290,
Mauritius,1290,
Mayotte,1290,
Mexico,1290,
Micronesia - Fed. Sts.,1290,
Moldova,1290,
Monaco,1290,
Mongolia,1290,
Montenegro,1290,
Montserrat,1290,
Morocco,1290,
Mozambique,1290,
Myanmar,1290,
Namibia,1290,
Nauru,1290,
Nepal,1290,
Netherlands,1290,
Netherlands Antilles,1290,
New Caledonia,1290,
New Zealand,1290,
Ngorno-Karabakh,1290,
Nicaragua,1290,
Niger,1290,
Nigeria,1290,
Niue,1290,
Norfolk Island,1290,
Northern Cyprus,1290,
Northern Mariana Islands,1290,
Norway,1290,
Oman,1290,
Pakistan,1290,
Palau,1290,
Panama,1290,
Papua New Guinea,1290,
Paraguay,1290,
Peru,1290,
Philippines,1290,
Pitcairn,1290,
Poland,1290,
Portugal,1290,
Puerto Rico,1290,
Qatar,1290,
Reunion,1290,
Romania,1290,
Russia,1290,
Rwanda,1290,
Saint Barthélemy,1290,
Saint Helena,1290,
Saint Kitts and Nevis,1290,
Saint Lucia,1290,
Saint Martin,1290,
Saint Vincent and the Grenadines,1290,
Saint-Pierre-et-Miquelon,1290,
Samoa,1290,
San Marino,1290,
Sao Tome and Principe,1290,
Saudi Arabia,1290,
Senegal,1290,
Serbia,1290,
Serbia and Montenegro,1290,
Serbia excluding Kosovo,1290,
Seychelles,1290,
Sierra Leone,1290,
Singapore,1290,
Slovak Republic,1290,
Slovenia,1290,
Solomon Islands,1290,
Somalia,1290,
Somaliland,1290,
South Africa,1290,
South Ossetia,1290,
South Sudan,1290,
Spain,1290,
Sri Lanka,1290,
Sudan,1290,
Suriname,1290,
Svalbard,1290,
Swaziland,1290,
Sweden,1290,
Switzerland,1290,
Syria,1290,
Taiwan,1290,
Tajikistan,1290,
Tanzania,1290,
Thailand,1290,
Timor-Leste,1290,
Togo,1290,
Tokelau,1290,
Tonga,1290,
Transnistria,1290,
Trinidad and Tobago,1290,
Tunisia,1290,
Turkey,1290,
Turkmenistan,1290,
Turks and Caicos Islands,1290,
Tuvalu,1290,
Uganda,1290,
Ukraine,1290,
United Arab Emirates,1290,
United Kingdom,1290,6804002
United States,1290,
Uruguay,1290,
USSR,1290,
Uzbekistan,1290,
Wallis et Futuna,1290,
Vanuatu,1290,
Venezuela,1290,
West Bank and Gaza,1290,
West Germany,1290,
Western Sahara,1290,
Vietnam,1290,
Virgin Islands (U.S.),1290,
Yemen Arab Republic (Former),1290,
Yemen Democratic (Former),1290,
Yemen - Rep.,1290,
Yugoslavia,1290,
Zambia,1290,
Zimbabwe,1290,
Åland,1290,
Abkhazia,1300,
Afghanistan,1300,
Akrotiri and Dhekelia,1300,
Albania,1300,
Algeria,1300,
American Samoa,1300,
Andorra,1300,
Angola,1300,
Anguilla,1300,
Antigua and Barbuda,1300,
Argentina,1300,
Armenia,1300,
Aruba,1300,
Australia,1300,
Austria,1300,
Azerbaijan,1300,
Bahamas,1300,
Bahrain,1300,
Bangladesh,1300,
Barbados,1300,
Belarus,1300,
Belgium,1300,
Belize,1300,
Benin,1300,
Bermuda,1300,
Bhutan,1300,
Bolivia,1300,
Bosnia and Herzegovina,1300,
Botswana,1300,
Brazil,1300,
British Virgin Islands,1300,
Brunei,1300,
Bulgaria,1300,
Burkina Faso,1300,
Burundi,1300,
Cambodia,1300,
Cameroon,1300,
Canada,1300,
Cape Verde,1300,
Cayman Islands,1300,
Central African Rep.,1300,
Chad,1300,
Channel Islands,1300,
Chile,1300,
China,1300,
Christmas Island,1300,
Cocos Island,1300,
Colombia,1300,
Comoros,1300,
Congo - Dem. Rep.,1300,
Congo - Rep.,1300,
Cook Islands,1300,
Costa Rica,1300,
Cote d'Ivoire,1300,
Croatia,1300,
Cuba,1300,
Cyprus,1300,
Czech Rep.,1300,
Czechoslovakia,1300,
Denmark,1300,
Djibouti,1300,
Dominica,1300,
Dominican Rep.,1300,
East Germany,1300,
Ecuador,1300,
Egypt,1300,
El Salvador,1300,
Equatorial Guinea,1300,
Eritrea,1300,
Eritrea and Ethiopia,1300,
Estonia,1300,
Ethiopia,1300,
Faeroe Islands,1300,
Falkland Islands (Malvinas),1300,
Fiji,1300,
Finland,1300,
France,1300,
French Guiana,1300,
French Polynesia,1300,
Gabon,1300,
Gambia,1300,
Georgia,1300,
Germany,1300,
Ghana,1300,
Gibraltar,1300,
Greece,1300,
Greenland,1300,
Grenada,1300,
Guadeloupe,1300,
Guam,1300,
Guatemala,1300,
Guernsey,1300,
Guinea,1300,
Guinea-Bissau,1300,
Guyana,1300,
Haiti,1300,
Holy See,1300,
Honduras,1300,
Hong Kong - China,1300,
Hungary,1300,
Iceland,1300,
India,1300,
Indonesia,1300,
Iran,1300,
Iraq,1300,
Ireland,1300,
Isle of Man,1300,
Israel,1300,
Italy,1300,
Jamaica,1300,
Japan,1300,
Jersey,1300,
Jordan,1300,
Kazakhstan,1300,
Kenya,1300,
Kiribati,1300,
Korea - Dem. Rep.,1300,
Korea - Rep.,1300,
Korea - United,1300,
Kosovo,1300,
Kuwait,1300,
Kyrgyzstan,1300,
Laos,1300,
Latvia,1300,
Lebanon,1300,
Lesotho,1300,
Liberia,1300,
Libya,1300,
Liechtenstein,1300,
Lithuania,1300,
Luxembourg,1300,
Macao - China,1300,
Macedonia - FYR,1300,
Madagascar,1300,
Malawi,1300,
Malaysia,1300,
Maldives,1300,
Mali,1300,
Malta,1300,
Marshall Islands,1300,
Martinique,1300,
Mauritania,1300,
Mauritius,1300,
Mayotte,1300,
Mexico,1300,
Micronesia - Fed. Sts.,1300,
Moldova,1300,
Monaco,1300,
Mongolia,1300,
Montenegro,1300,
Montserrat,1300,
Morocco,1300,
Mozambique,1300,
Myanmar,1300,
Namibia,1300,
Nauru,1300,
Nepal,1300,
Netherlands,1300,
Netherlands Antilles,1300,
New Caledonia,1300,
New Zealand,1300,
Ngorno-Karabakh,1300,
Nicaragua,1300,
Niger,1300,
Nigeria,1300,
Niue,1300,
Norfolk Island,1300,
Northern Cyprus,1300,
Northern Mariana Islands,1300,
Norway,1300,
Oman,1300,
Pakistan,1300,
Palau,1300,
Panama,1300,
Papua New Guinea,1300,
Paraguay,1300,
Peru,1300,
Philippines,1300,
Pitcairn,1300,
Poland,1300,
Portugal,1300,
Puerto Rico,1300,
Qatar,1300,
Reunion,1300,
Romania,1300,
Russia,1300,
Rwanda,1300,
Saint Barthélemy,1300,
Saint Helena,1300,
Saint Kitts and Nevis,1300,
Saint Lucia,1300,
Saint Martin,1300,
Saint Vincent and the Grenadines,1300,
Saint-Pierre-et-Miquelon,1300,
Samoa,1300,
San Marino,1300,
Sao Tome and Principe,1300,
Saudi Arabia,1300,
Senegal,1300,
Serbia,1300,
Serbia and Montenegro,1300,
Serbia excluding Kosovo,1300,
Seychelles,1300,
Sierra Leone,1300,
Singapore,1300,
Slovak Republic,1300,
Slovenia,1300,
Solomon Islands,1300,
Somalia,1300,
Somaliland,1300,
South Africa,1300,
South Ossetia,1300,
South Sudan,1300,
Spain,1300,
Sri Lanka,1300,
Sudan,1300,
Suriname,1300,
Svalbard,1300,
Swaziland,1300,
Sweden,1300,1100000
Switzerland,1300,
Syria,1300,
Taiwan,1300,
Tajikistan,1300,
Tanzania,1300,
Thailand,1300,
Timor-Leste,1300,
Togo,1300,
Tokelau,1300,
Tonga,1300,
Transnistria,1300,
Trinidad and Tobago,1300,
Tunisia,1300,
Turkey,1300,
Turkmenistan,1300,
Turks and Caicos Islands,1300,
Tuvalu,1300,
Uganda,1300,
Ukraine,1300,
United Arab Emirates,1300,
United Kingdom,1300,
United States,1300,
Uruguay,1300,
USSR,1300,
Uzbekistan,1300,
Wallis et Futuna,1300,
Vanuatu,1300,
Venezuela,1300,
West Bank and Gaza,1300,
West Germany,1300,
Western Sahara,1300,
Vietnam,1300,
Virgin Islands (U.S.),1300,
Yemen Arab Republic (Former),1300,
Yemen Democratic (Former),1300,
Yemen - Rep.,1300,
Yugoslavia,1300,
Zambia,1300,
Zimbabwe,1300,
Åland,1300,
Abkhazia,1348,
Afghanistan,1348,
Akrotiri and Dhekelia,1348,
Albania,1348,
Algeria,1348,
American Samoa,1348,
Andorra,1348,
Angola,1348,
Anguilla,1348,
Antigua and Barbuda,1348,
Argentina,1348,
Armenia,1348,
Aruba,1348,
Australia,1348,
Austria,1348,
Azerbaijan,1348,
Bahamas,1348,
Bahrain,1348,
Bangladesh,1348,
Barbados,1348,
Belarus,1348,
Belgium,1348,
Belize,1348,
Benin,1348,
Bermuda,1348,
Bhutan,1348,
Bolivia,1348,
Bosnia and Herzegovina,1348,
Botswana,1348,
Brazil,1348,
British Virgin Islands,1348,
Brunei,1348,
Bulgaria,1348,
Burkina Faso,1348,
Burundi,1348,
Cambodia,1348,
Cameroon,1348,
Canada,1348,
Cape Verde,1348,
Cayman Islands,1348,
Central African Rep.,1348,
Chad,1348,
Channel Islands,1348,
Chile,1348,
China,1348,
Christmas Island,1348,
Cocos Island,1348,
Colombia,1348,
Comoros,1348,
Congo - Dem. Rep.,1348,
Congo - Rep.,1348,
Cook Islands,1348,
Costa Rica,1348,
Cote d'Ivoire,1348,
Croatia,1348,
Cuba,1348,
Cyprus,1348,
Czech Rep.,1348,
Czechoslovakia,1348,
Denmark,1348,
Djibouti,1348,
Dominica,1348,
Dominican Rep.,1348,
East Germany,1348,
Ecuador,1348,
Egypt,1348,
El Salvador,1348,
Equatorial Guinea,1348,
Eritrea,1348,
Eritrea and Ethiopia,1348,
Estonia,1348,
Ethiopia,1348,
Faeroe Islands,1348,
Falkland Islands (Malvinas),1348,
Fiji,1348,
Finland,1348,
France,1348,
French Guiana,1348,
French Polynesia,1348,
Gabon,1348,
Gambia,1348,
Georgia,1348,
Germany,1348,
Ghana,1348,
Gibraltar,1348,
Greece,1348,
Greenland,1348,
Grenada,1348,
Guadeloupe,1348,
Guam,1348,
Guatemala,1348,
Guernsey,1348,
Guinea,1348,
Guinea-Bissau,1348,
Guyana,1348,
Haiti,1348,
Holy See,1348,
Honduras,1348,
Hong Kong - China,1348,
Hungary,1348,
Iceland,1348,
India,1348,
Indonesia,1348,
Iran,1348,
Iraq,1348,
Ireland,1348,
Isle of Man,1348,
Israel,1348,
Italy,1348,
Jamaica,1348,
Japan,1348,
Jersey,1348,
Jordan,1348,
Kazakhstan,1348,
Kenya,1348,
Kiribati,1348,
Korea - Dem. Rep.,1348,
Korea - Rep.,1348,
Korea - United,1348,
Kosovo,1348,
Kuwait,1348,
Kyrgyzstan,1348,
Laos,1348,
Latvia,1348,
Lebanon,1348,
Lesotho,1348,
Liberia,1348,
Libya,1348,
Liechtenstein,1348,
Lithuania,1348,
Luxembourg,1348,
Macao - China,1348,
Macedonia - FYR,1348,
Madagascar,1348,
Malawi,1348,
Malaysia,1348,
Maldives,1348,
Mali,1348,
Malta,1348,
Marshall Islands,1348,
Martinique,1348,
Mauritania,1348,
Mauritius,1348,
Mayotte,1348,
Mexico,1348,
Micronesia - Fed. Sts.,1348,
Moldova,1348,
Monaco,1348,
Mongolia,1348,
Montenegro,1348,
Montserrat,1348,
Morocco,1348,
Mozambique,1348,
Myanmar,1348,
Namibia,1348,
Nauru,1348,
Nepal,1348,
Netherlands,1348,
Netherlands Antilles,1348,
New Caledonia,1348,
New Zealand,1348,
Ngorno-Karabakh,1348,
Nicaragua,1348,
Niger,1348,
Nigeria,1348,
Niue,1348,
Norfolk Island,1348,
Northern Cyprus,1348,
Northern Mariana Islands,1348,
Norway,1348,
Oman,1348,
Pakistan,1348,
Palau,1348,
Panama,1348,
Papua New Guinea,1348,
Paraguay,1348,
Peru,1348,
Philippines,1348,
Pitcairn,1348,
Poland,1348,
Portugal,1348,
Puerto Rico,1348,
Qatar,1348,
Reunion,1348,
Romania,1348,
Russia,1348,
Rwanda,1348,
Saint Barthélemy,1348,
Saint Helena,1348,
Saint Kitts and Nevis,1348,
Saint Lucia,1348,
Saint Martin,1348,
Saint Vincent and the Grenadines,1348,
Saint-Pierre-et-Miquelon,1348,
Samoa,1348,
San Marino,1348,
Sao Tome and Principe,1348,
Saudi Arabia,1348,
Senegal,1348,
Serbia,1348,
Serbia and Montenegro,1348,
Serbia excluding Kosovo,1348,
Seychelles,1348,
Sierra Leone,1348,
Singapore,1348,
Slovak Republic,1348,
Slovenia,1348,
Solomon Islands,1348,
Somalia,1348,
Somaliland,1348,
South Africa,1348,
South Ossetia,1348,
South Sudan,1348,
Spain,1348,
Sri Lanka,1348,
Sudan,1348,
Suriname,1348,
Svalbard,1348,
Swaziland,1348,
Sweden,1348,
Switzerland,1348,
Syria,1348,
Taiwan,1348,
Tajikistan,1348,
Tanzania,1348,
Thailand,1348,
Timor-Leste,1348,
Togo,1348,
Tokelau,1348,
Tonga,1348,
Transnistria,1348,
Trinidad and Tobago,1348,
Tunisia,1348,
Turkey,1348,
Turkmenistan,1348,
Turks and Caicos Islands,1348,
Tuvalu,1348,
Uganda,1348,
Ukraine,1348,
United Arab Emirates,1348,
United Kingdom,1348,6889947
United States,1348,
Uruguay,1348,
USSR,1348,
Uzbekistan,1348,
Wallis et Futuna,1348,
Vanuatu,1348,
Venezuela,1348,
West Bank and Gaza,1348,
West Germany,1348,
Western Sahara,1348,
Vietnam,1348,
Virgin Islands (U.S.),1348,
Yemen Arab Republic (Former),1348,
Yemen Democratic (Former),1348,
Yemen - Rep.,1348,
Yugoslavia,1348,
Zambia,1348,
Zimbabwe,1348,
Åland,1348,
Abkhazia,1349,
Afghanistan,1349,
Akrotiri and Dhekelia,1349,
Albania,1349,
Algeria,1349,
American Samoa,1349,
Andorra,1349,
Angola,1349,
Anguilla,1349,
Antigua and Barbuda,1349,
Argentina,1349,
Armenia,1349,
Aruba,1349,
Australia,1349,
Austria,1349,
Azerbaijan,1349,
Bahamas,1349,
Bahrain,1349,
Bangladesh,1349,
Barbados,1349,
Belarus,1349,
Belgium,1349,
Belize,1349,
Benin,1349,
Bermuda,1349,
Bhutan,1349,
Bolivia,1349,
Bosnia and Herzegovina,1349,
Botswana,1349,
Brazil,1349,
British Virgin Islands,1349,
Brunei,1349,
